ASIN,Date,User ID,MP,product_type,item_classification,brand,occasion,item_type_name,department,color,size,item_name,TRP 1,Comments,seller_data
B09SHWGZ1H,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Ted Baker,,Cosmetic Bag,Men's,"standardized_values:Black, value:Black",,Ted Baker Criss Double Zip Wash Toiletry Bag in Black,,,
B07VN6PK9B,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,SaveThePeople,,,Women,"standardized_values:Black, value:Black",Medium - 19x18x9cm,"Personalised Gifts - Rose Gold Name Custom Text Personalised Makeup Bags with Customized Name Makeup Bag (Black, Medium - 19x18x9cm)",,,
B07W536XT7,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Yalbdopo,,,"mens, women, girls, boys","standardized_values:Black, value:Black, Transparent",5g / 5ml,"Yalbdopo 25 Pieces 5g / 5ml Empty Plastic Cosmetics Jars Travel Container Sample Pots with Black Screw Lids for Cream, Powder, Makeup Storage, Includes 3 Pack Mini Spatula",,,
B09S3YK8FN,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Generic,"Business, Travel",,,"standardized_values:Blue, value:Dark Blue",,"Hanging Travel Toiletry Bag for Women and Men/ Cosmetics with Multi Pockets/ Waterproof Hook/ Folding Wash Bag/ Organiser/ Cosmetic Storage Case, Dark Blue",,,
B09SP81P36,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,YWQCASEYWQ,,,,"standardized_values:Black, value:Black",,Vanity Case Makeup Box with Mirror Travel Organiser Beauty Box Portable Cosmetic Train Box Make Up Storage Case Lockable with Keys for Girls Women (Black),,,
B07SS45FJ1,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Veyarien,,,womens,"standardized_values:Purple, value:Purple",S M L,"3PCS Travel Makeup Bag Set, Veriya Clear Cosmetic Case Toiletry Wash Storage Holder Pouch Purse Bags for Girls Women Ladies Travelling or Daily Use (Purple)",,,
B09NXPWWMP,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Fumxin,,,,"standardized_values:Black, value:Black",,"Fumxin Makeup Bag Set Cosmetic Bag for Women Portable Waterproof Makeup Organizer Bag Travel Toiletry Bags, Black",,,
B09YM2H2XK,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,LZGS Go Swing Bands,"Business, Travel",,,"standardized_values:Blue, value:Dark Blue",,"Toiletry Bags for Women Hanging Toiletry Bag Portable Large Capacity Make Up Bag,for Travel Business Vacation(Dark Blue)",,,
B08D6Y6Y14,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Rinseroo,,Travel Accessory- Toiletry Kit,unisex-adult,"standardized_values:Blue, value:Blue",,"LeakLocks: 4 Pack Toiletry Skins for Leak Proofing Travel Containers in Luggage. Protects Standard and Travel Sized Toiletries. Reusable Accessory for use in Travel Bag, Suitcase and Carry On Luggage.",,,
B082YZS3NH,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Leikance,Travel,,,"standardized_values:Black, value:Black",32 * 14 * 23cm,"Leikance Mini Hand Travel Suitcase,Portable Travel Bag Waterproof Cosmetic Case with Elastic Straps 14 inch",,,
B08D3J6V6T,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Fumxin,,,,"standardized_values:Pink, value:Pink With Purple Rabbit",Large,Drawstring Makeup Bag - Lazy Cosmetic Bag Velvet Drawstring Travel Cosmetic Bag Portable Travel Makeup Pouch Magic Toiletry Bag for Womens Girls,,,
B07DS7J5BM,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,BENECREAT,,,,(6) 1.7\x1.22\,25ml,"BENECREAT 16 Pack 25ml Empty Clear Plastic Bead Storage Container jar with Rounded Screw-Top Lids for Beads, Nail Art, Glitter, Make Up, Cosmetics and Travel Cream",,,
B099WRLQ3Y,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Molain,,,Womens,Style B,8.66 �� 5.91 �� 0.12 inch,Molain Mother's Day Gifts for Women Travel Makeup Bags with Zipper for Best Friends Mom Grandma Wife Nurse Teachers Retirees Colleagues and Funny Birthday Retired Makeup Bag,,,
B08QCCL22R,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Trintion,,,,"standardized_values:Pink, value:Pink",76*31*22.5cm,Trintion 4 in 1 Make Up Trolley Box 76 * 31 * 22.5cm Large Beauty Make Up Trolley Cosmetics Beauty Case with Wheels for Makeup Beginners Makeup Artists Nail Technicians Beauticians (Pink),,,
B09GVTN88D,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Sehaby,,,,"standardized_values:White, value:White",,"Portable Makeup Storage Organizer Box Cosmetics Storage Display Rack with Drawer, Desk Makeup Organizer Cosmetic Storage Box, Waterproof, Dustproof (White)",,,
B08X3J4Q3L,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,JTOUK,,,,"standardized_values:Beige, value:Be a Witch Bag Eu",M,Novelty Cosmetic Bag with Inspired Zipper Closure in A World Full of Princesses Be A Witch Makeup Bag Gift (Be A Witch Bag EU),,,
B0B3T1V3TY,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Vavabox,,,,Large Flamingo,58CM,23 Inch��Large Lazy Drawstring Make up Bag Portable Large Travel Cosmetic Bag Pouch Travel Makeup Pouch Storage Organiser for Women Girl (Large Flamingo),,,
B07H7JJYYK,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Olanmark,Travel,,,"standardized_values:Black, value:Black",S,TSA Approved Toiletry Bag 3-1-1 Clear Travel Cosmetic Bag with Handle - Quart Size Bag with Zipper - Carry-on Luggage Clear Toiletry Bag for Liquids - Airport Airline TSA Compliant Bag for Man Women,,,
B09HM7F2TQ,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,PUMA,,Cosmetic Bag,Women's,"standardized_values:Pink, value:Pink",,Miss Pink Cosmetic Beauty Brushes Makeup Box Zipper Travel Case - Black Pink,,,
B08F2826BM,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,stardis,,Travel Accessory- Cosmetic Bag,Unisex Adult,"standardized_values:Transparent, value:Transparent",S,stardis Cosmetic Bag Hard Shell Toiletry Bag Hard Case Women Men Toiletry Bag in Case Shape Flight Beauty Case Waterproof Mini Case Look Wash Bag for Women Men Children (Transparent),,,
B07B4DT1L3,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,ALAZA,,,,"standardized_values:Beige, value:Colour 014",23x17x16cm,"Makeup Bag, Cute Dog Animal Print Cosmetic Toiletry Storage Organiser Case Large Travel Handle Personalised Pouch with Compartments for Teenage Girls Women Lady",,,
B099JB6W4C,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,BAFASO,,makeup-travel-cases-and-holders,unisex-adult,"standardized_values:Purple, value:Purple",,"BAFASO Large Cosmetic Bag Makeup Bag with Adjustable Dividers, Travel Makeup Case, Purple",,,
B07941QMHB,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,ALAZA,,,,"standardized_values:Purple, value:Unicorn2",23x17x16cm,"Makeup Bag, Unicorn Pattern Printed Cosmetic��Toiletry Storage Large Travel Handle Personalised Pouch with Compartments for Teenage Girl Women Lady Violet",,,
B076X5XW1C,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,ZEJIA,,,,"standardized_values:Transparent, value:Clear",40 Count (Pack of 1),ZEJIA 10 Gram Cosmetic Containers 40pcs Sample Jars with Lids Plastic Makeup Sample Containers BPA Free Pot Jars(Clear),,,
B07SX3NWM2,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Bago,Travel,,unisex-adult (luggage only),Dop-canvaleather,Dopp,"Bago Travel Toiletry Bag for Men and Women Leather Canvas Dopp Kit Shaving Bag Organizer - Small Water-Resistant, Mens Toiletry Bag Travel Kit Shaving Case (Leather Dopp)",,,
B095CFF46Z,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Cokritsm,,,,"standardized_values:Purple, value:Purple",,"Cokritsm Essential Oil Carrying Case 60 Bottles Organizer for 5ml, 10ml, 15ml Essential Oils Traveling Storage Organizer for doTerra and Young Living Oils with Bottle Openers and Stickers",,,
B08M3SGCVW,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Personalised Gifts Market,,,,"standardized_values:off-white, value:Cream",Small - 18.5 cm x 12 cm x 6 cm 1 Litre,Personalised Make Up Bag Any Name Birthday Present Mothers Day Custom Gift,,,
B08DXSRCTG,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,JunNeng,"Business, Travel",,,Silver Flamingo,One Size,"JunNeng Clear Flamingo Toiletry Bag Transparent Portable Cosmetic Bag Waterproof Travel Wash Bag Bath Bags Simple Storage Bag Organsier Pouch for Women Girls, Silver",,,
B06XJ3H9BQ,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Augbunny,,,,"standardized_values:White, value:White",L,Augbunny 100% Cotton 16oz Heavy Duty Multi-Purpose Canvas Zipper Cosmetics Makeup Travel Toiletry Organizing Pouch 4-Pack,,,
B07F2X55B3,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Comfyable,,,,Rose Gold Glitter,Mini,Comfyable Small Cosmetic Bag for Purse Pencil Case Rectangular Makeup Bag Waterproof Glitter Cute Toiletry Pouch Rose Gold Sparkly Pink,,,
B098XJF44Z,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,CERD�� LIFE'S LITTLE MOMENTS,Travel,Spiderman Official Licensed Marvel Kids Wash Bag,boys,"standardized_values:Red, value:Red",,"CERD�� LIFE'S LITTLE MOMENTS, Spiderman Official Licensed Child's Wash Bag - Red - Recommended from 2 to 8 Years",,,
B09TFFM71S,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,DiiZii,,,,"standardized_values:White, value:White",,New Mom Gifts Pregnancy Gifts for First Time Moms Makeup Bag Mothers Day Baby Shower Gifts New Mommy Gift Ideas Cosmetic Bag Birthday Christmas Gifts for Mom Mother Cosmetic Travel Pouch,,,
B0778RWWBM,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Treat Me Suite,,,Women's,"standardized_values:Glitter Rose Gold, value:Glitter Rose Gold",Natural Bag,"Personalised Name Make Up Accessory Bag in Black or Natural Colour Any Name Metallic or Glitter Print The for Any Occasion, Christmas, Birthdays Weddings (Natural Bag, Glitter Rose Gold)",,,
B09R1XXWX3,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Anjing,,,,"standardized_values:Pink, value:Pink",,"Anjing Makeup Case with Touch LED Light Mirror and Handle,Makeup Organiser,Pink Makeup Storage Box,Rechargeable Battery Cosmetic Storage Box",,,
B09Z7W1BW2,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,MEDOLIKA,"Business, Travel",,,"standardized_values:Blue, value:Blue",,Lazy Drawstring Make Bag Travel Cosmetic Bag Pouch Large Capacity Portable Cosmetic Bag Makeup Pouch Storage Organiser for Women Girl,,,
B09PTLSB7H,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,LucyStudio,,,,"standardized_values:Transparent, value:Transparent",,Rotating Makeup Organizer 360 Degree Spinning Adjustable Transparent Make Up Display Storage Holder Large Capacity Cosmetic Organiser for Dresser Bedroom Bathroom,,,
B09BFJMXZL,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Vlando,,,womens,"standardized_values:white, value:White",Mit Fach,Vlando Travel Cosmetic Bag Large Makeup Bag for Women Girls Men Waterproof Wash Bag Portable Makeup Bag Organiser Cosmetic Bag Cosmetic Case,,,
B09DQ6Z94F,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Harry Potter,,,,"standardized_values:Black, value:Large",,Harry Potter - Harry Potter Makeup Bag - Gryffindor Make Up Bag - Makeup Storage - Harry Potter Bag for Makeup - Harry Potter Gifts,,,
B014HAOER8,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,NYK1,,,,"standardized_values:Black, value:Black",L (Pack of 1),"Make Up Beauty Cosmetic Bag - Large Travel Wash Case Bags for Women Girls Storage of Makeup Cosmetics, Toiletry Pouch for Brushes Toiletries Kids Brush Kit Nail Art Lamp Set, Splash Waterproof (BLACK)",,,
B01EAUEX08,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Signare,,,,Kolibri,One Size,"Signare Tapestry Toiletry Bag Makeup Organise Bag for Women with Garden Flower and Creatures (Hummingbird, Toil-HUMM)",,,
B07TMF64JX,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Wind Took,"Business, Travel",Travel Accessory- Toiletry Kit,womens,"standardized_values:Green, value:Green",L,Wind Took Hanging Toiletry Bag Large Travel Wash Bag Womens Cosmetic Bag Girls Makeup Organizer Toilet Bags for Men,,,
B0854JLLRL,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,PB PUDINBAG,,,,"standardized_values:Black, value:Charcoal",S,Pudinbag Small Makeup Cosmetic Pouch Bag for Women Purse | Silicone Waterproof Vegan | Gift for Teenage Girls (Charcoal),,,
B099PDSM5G,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Mikihat,Travel,,,"standardized_values:Grey, value:Grey",,"Cosmetic Bag Travel, Toiletry Bag in Oxford Cloth, Make up Case Organizer, Portable Toiletry Cosmetic Case Waterproof, Make up Organiser for Women Men Girl - Gray",,,
B09Z2D4W8P,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Maggidea,,,,"standardized_values:Yellow, value:Blue/Pink/White/Yellow",,"Travel Bottles for toiletries, 4Pcs Travel Bottle Set, Travel Accessories, Empty Refillable Squeezable Containers, Plastic Leak Proof Squeeze Bottles for Travel Toiletries, 60ml",,,
B07SR4SPRM,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Veyarien,,,womens,"standardized_values:Pink, value:Pink",S M L,"3PCS Travel Makeup Bag Set, Veriya Clear Cosmetic Case Toiletry Wash Storage Holder Pouch Purse Bags for Girls Women Ladies Travelling or Daily Use (Pink)",,,
B0846JK1ZV,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Samsonite,,Travel Accessory Toiletry Kit,Unisex Child,"standardized_values:Yellow, value:Yellow (Duck Dodie)",One Size,"Samsonite Happy Sammies Eco - Toiletry Bag, 22 cm, 2.5 Litre, Yellow (Duck Dodie)",,,
B01NH5FOKF,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Brisa,"Business, Travel",Neoprene Universal Bag,Unisex,"standardized_values:Blue, value:Classic/Blue",Small (23 x 11 x 8 cm),"BRISA VW Collection - Volkswagen Hippie Bus T1 Camper Van 3D Neoprene Small Universal Bag - Makeup, Travel, Cosmetic Bag (Neoprene/Classic/Blue)",,,
B09ZHRJVKQ,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Momogrow,Travel,Cosmetic Bag,Women's,"standardized_values:Multicolour, value:Multicolor",,Makeup Bag���3 Pack Waterproof Travel Toiletry Bags Leather Cosmetic Bag Portable Makeup Organizer Bag for Women Girls,,,
B08X3L84D3,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,JTOUK,"Business, Travel",,,"standardized_values:Beige, value:Crag Bag Eu",M,Crap Bag Novelty TV Show Inspired Travel Cosmetic Makeup Toiletry Bag (Crag Bag EU),,,
B081MT3ZP7,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Bansga,"Business, Travel",,,"standardized_values:Black, value:Black",M,Travel Hanging Toiletry Wash Bag Makeup Cosmetic Organizer for Women Girls Kids Waterproof(Black),,,
B072ND29J5,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,men-��,Travel,Travel Accessory- Cosmetic Bag,Men's,"Black, White, Green and Blue",120 g,"men-�� Stripes Toiletry Bag, black, white, green and blue, 120 g",,,
B09ZLGNW4F,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,MOEMOE BABY,"Business, Travel",Travel Accessory- Cosmetic Bag,Unisex Adult,"standardized_values:White, value:White",,MOEMOE BABY Toiletry Bag Makeup Travel Wash Bag Hanging Large Cosmetic Organizer Waterproof Portable Toiletries Storage Case with Hook for Women Men Girls Boys,,,
B09NNLZXHC,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,CHEERYMAGIC,"Travel, Party",,,1,,"Cosmetic Bag, 2 Pack Small Cosmetic Bag Make Up Accessory Bag Travel Toiletry WashBag Makeup Pouch with Alpaca Printed Handy Purse for Women Girls A3YTHZB (1)",,,
B0B4R1HT79,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,KKSTY,,,,"standardized_values:Transparent, value:Clear",,"2pcs Clear Toiletry Bags, Portable Travel Toiletry Bag, Waterproof PVC Zipper Bag, Cosmetic Pouch Wash Bag Makeup Bag for Men and Women,TSA Approved",,,
B077GW6QHN,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Jaald,Travel,,unisex-adult (luggage only),"standardized_values:Brown, value:Brown",L,Men's Genuine Leather Toiletry Bag Waterproof Dopp Kit Shaving Bags and Grooming for Travel Groomsmen Gift Men Women Hanging Zippered Makeup Bathroom Cosmetic Pouch Case Make Up kit,,,
B079YSCKHM,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,LParkin,,,,"standardized_values:white, value:White",,LParkin Cute Cat Pencil Case Cats and Yarn Knitting Notion Pouch Kitten Makeup Bag Gift for Cat Lovers Pencil Pouch Small Cosmetics Bag Kawaii Box Gadget Bag Stationary,,,
B071S2B1RZ,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Signare,,,,Playful Puppy,One Size,Signare Tapestry Toiletry Bag Makeup Vanity Bag for Women with Animal and Pet Designs (Playful Puppy; Toil-Puppy),,,
B09JZ998M5,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Tuscall,Travel,,,"standardized_values:White, value:White",,Tuscall Travel Toiletry Bag Overnight Wash Bag Unisex Cosmetic Bag Portable Dopp Kit Makeup Bag Organizer for Gym Vacation Camping (White),,,
B097SKPBVW,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,BNQL,"Travel, Party",,,Sweet 14 Bag,L,Sweet 14 Gifts for Girls 14th Birthday Bag 14 Year Old Girls Gifts Happy 14th Birthday Gifts Makeup Bags Pencil Pouch (Sweet 14 BAG),,,
B0038JDNBS,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,travelite,,,Women,"standardized_values:Black, value:Schwarz",19 Liter,Travelite Beauty Case 098492 Orlando Black 82781,,,
B0B143QJMW,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Darbermu,,Travel Accessory- Toiletry Kit,Womens,"standardized_values:Blue, value:Blue",,"Makeup Bag, Travel Cosmetic Bag with Brush Slots, Large Makeup Bag for Women, Waterproof Travel Makeup Bag Organiser, Wash Bag, Portable PU Toiletry Storage Box for Girls (Blue)",,,
B092QZCQ4R,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,NISHEL,Travel,Travel Accessory- Toiletry Kit,,"standardized_values:Black, value:Black",With Makeup Brushes Organizer,"NISHEL Hanging Travel Toiletry Bag, Visible Makeup Organizer, Makeup Case for Travel Accessories, Bathroom Shower, Black",,,
B08H5C2YFH,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Kulannder,"Business, Travel",,,"standardized_values:Transparent, value:Transparent",M,2Pcs Clear Travel Makeup Bag Clear Travel Toiletry Bag Clear PVC Travel Bag Organizer for Home Travel Business (24 * 17 * 11cm),,,
B076X4T4M6,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,ZEJIA,,,,"standardized_values:Pink, value:Pink",20 Count (Pack of 1),ZEJIA 10 Gram Cosmetic Containers 20pcs Sample Jars with Lids Plastic Makeup Sample Containers BPA free Pot Jars(Pink),,,
B015XJ1ALU,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,WODISON,Travel,,,"standardized_values:Black, value:Black",One Size,WODISON Foldable Clear Hanging Travel Toiletry Bag Cosmetic Organiser Storage Black,,,
